title,text,subject,date
Global Inflation Rates Show Signs of Slowing in 2023,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",healthNews,"July 04, 2021"
United Nations Calls for Global Action on Plastic Pollution,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",techNews,"December 09, 2020"
Historic Peace Agreement Reached in Middle East Conflict,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",scienceNews,"December 17, 2022"
Historic Peace Agreement Reached in Middle East Conflict,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",techNews,"June 06, 2023"
World Health Organization Declares End of COVID-19 Pandemic,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",techNews,"April 16, 2021"
Historic Peace Agreement Reached in Middle East Conflict,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",worldNews,"November 28, 2021"
NASA Successfully Launches Artemis II Mission to Moon,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",worldNews,"May 20, 2022"
AI Regulation Bill Passed in European Parliament,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",healthNews,"August 12, 2023"
Breakthrough in Renewable Energy Achieved in 2023,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",economyNews,"July 16, 2023"
AI Regulation Bill Passed in European Parliament,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",scienceNews,"August 20, 2020"
AI Regulation Bill Passed in European Parliament,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",techNews,"January 22, 2021"
International Efforts to Combat Cybercrime Intensify in 2023,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",economyNews,"December 19, 2021"
Historic Peace Agreement Reached in Middle East Conflict,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",economyNews,"August 17, 2023"
Global Inflation Rates Show Signs of Slowing in 2023,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",economyNews,"January 20, 2023"
AI Regulation Bill Passed in European Parliament,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",scienceNews,"March 09, 2021"
World Health Organization Declares End of COVID-19 Pandemic,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,worldNews,"January 05, 2023"
United Nations Calls for Global Action on Plastic Pollution,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",scienceNews,"March 10, 2022"
Breakthrough in Renewable Energy Achieved in 2023,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",scienceNews,"February 17, 2022"
NASA Successfully Launches Artemis II Mission to Moon,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,scienceNews,"June 22, 2022"
NASA Successfully Launches Artemis II Mission to Moon,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",scienceNews,"January 18, 2022"
Breakthrough in Renewable Energy Achieved in 2023,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",scienceNews,"November 07, 2020"
2023 Marks Record High for Space Exploration Achievements,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",worldNews,"February 16, 2023"
Global Inflation Rates Show Signs of Slowing in 2023,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",worldNews,"December 19, 2020"
United Nations Calls for Global Action on Plastic Pollution,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",scienceNews,"July 02, 2020"
Historic Peace Agreement Reached in Middle East Conflict,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",healthNews,"June 21, 2022"
2023 Marks Record High for Space Exploration Achievements,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",techNews,"February 22, 2022"
Global Climate Summit 2023 Concludes with Historic Agreements,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",scienceNews,"July 04, 2022"
Historic Peace Agreement Reached in Middle East Conflict,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",scienceNews,"August 13, 2022"
World Health Organization Declares End of COVID-19 Pandemic,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",techNews,"November 07, 2021"
Historic Peace Agreement Reached in Middle East Conflict,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",healthNews,"May 18, 2020"
Breakthrough in Renewable Energy Achieved in 2023,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",scienceNews,"March 22, 2021"
Historic Peace Agreement Reached in Middle East Conflict,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,techNews,"January 14, 2021"
Historic Peace Agreement Reached in Middle East Conflict,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",economyNews,"September 02, 2023"
International Efforts to Combat Cybercrime Intensify in 2023,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",healthNews,"October 09, 2022"
NASA Successfully Launches Artemis II Mission to Moon,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",scienceNews,"February 03, 2023"
Global Inflation Rates Show Signs of Slowing in 2023,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",techNews,"November 17, 2020"
World Health Organization Declares End of COVID-19 Pandemic,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",techNews,"December 10, 2020"
United Nations Calls for Global Action on Plastic Pollution,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",economyNews,"May 24, 2021"
NASA Successfully Launches Artemis II Mission to Moon,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",worldNews,"June 21, 2020"
2023 Marks Record High for Space Exploration Achievements,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",scienceNews,"April 16, 2022"
United Nations Calls for Global Action on Plastic Pollution,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",worldNews,"November 15, 2021"
NASA Successfully Launches Artemis II Mission to Moon,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",worldNews,"March 09, 2020"
Breakthrough in Renewable Energy Achieved in 2023,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",techNews,"October 02, 2023"
AI Regulation Bill Passed in European Parliament,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",techNews,"March 26, 2020"
Global Climate Summit 2023 Concludes with Historic Agreements,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",healthNews,"September 19, 2022"
2023 Marks Record High for Space Exploration Achievements,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",techNews,"July 09, 2021"
Breakthrough in Renewable Energy Achieved in 2023,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",techNews,"July 12, 2020"
Global Climate Summit 2023 Concludes with Historic Agreements,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",economyNews,"August 13, 2020"
2023 Marks Record High for Space Exploration Achievements,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,economyNews,"February 06, 2023"
NASA Successfully Launches Artemis II Mission to Moon,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",worldNews,"June 17, 2021"
Global Climate Summit 2023 Concludes with Historic Agreements,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",scienceNews,"December 05, 2021"
AI Regulation Bill Passed in European Parliament,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",healthNews,"February 14, 2021"
World Health Organization Declares End of COVID-19 Pandemic,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,scienceNews,"January 27, 2023"
2023 Marks Record High for Space Exploration Achievements,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",scienceNews,"December 06, 2020"
2023 Marks Record High for Space Exploration Achievements,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",worldNews,"March 03, 2020"
Global Inflation Rates Show Signs of Slowing in 2023,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",economyNews,"July 24, 2021"
Global Climate Summit 2023 Concludes with Historic Agreements,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",scienceNews,"February 12, 2020"
AI Regulation Bill Passed in European Parliament,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",scienceNews,"August 12, 2022"
Historic Peace Agreement Reached in Middle East Conflict,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,worldNews,"July 27, 2023"
Global Climate Summit 2023 Concludes with Historic Agreements,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",techNews,"April 17, 2021"
Global Inflation Rates Show Signs of Slowing in 2023,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",scienceNews,"February 16, 2021"
Breakthrough in Renewable Energy Achieved in 2023,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",worldNews,"February 19, 2021"
Historic Peace Agreement Reached in Middle East Conflict,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",scienceNews,"July 14, 2023"
International Efforts to Combat Cybercrime Intensify in 2023,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",economyNews,"April 27, 2022"
World Health Organization Declares End of COVID-19 Pandemic,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",scienceNews,"December 14, 2022"
Breakthrough in Renewable Energy Achieved in 2023,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",techNews,"May 28, 2020"
NASA Successfully Launches Artemis II Mission to Moon,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,worldNews,"October 21, 2021"
NASA Successfully Launches Artemis II Mission to Moon,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",techNews,"June 20, 2022"
AI Regulation Bill Passed in European Parliament,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",healthNews,"April 06, 2022"
International Efforts to Combat Cybercrime Intensify in 2023,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",techNews,"September 07, 2020"
Global Inflation Rates Show Signs of Slowing in 2023,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",economyNews,"February 16, 2022"
Global Inflation Rates Show Signs of Slowing in 2023,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",techNews,"December 27, 2023"
World Health Organization Declares End of COVID-19 Pandemic,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",scienceNews,"March 16, 2023"
International Efforts to Combat Cybercrime Intensify in 2023,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",healthNews,"April 05, 2020"
United Nations Calls for Global Action on Plastic Pollution,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",worldNews,"May 04, 2021"
Global Inflation Rates Show Signs of Slowing in 2023,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",economyNews,"July 13, 2023"
NASA Successfully Launches Artemis II Mission to Moon,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",healthNews,"December 08, 2021"
2023 Marks Record High for Space Exploration Achievements,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",healthNews,"July 16, 2022"
2023 Marks Record High for Space Exploration Achievements,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",healthNews,"October 03, 2023"
Global Climate Summit 2023 Concludes with Historic Agreements,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,scienceNews,"July 12, 2020"
Global Climate Summit 2023 Concludes with Historic Agreements,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",worldNews,"July 24, 2023"
United Nations Calls for Global Action on Plastic Pollution,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",worldNews,"October 05, 2021"
Breakthrough in Renewable Energy Achieved in 2023,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",scienceNews,"November 20, 2023"
Breakthrough in Renewable Energy Achieved in 2023,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",techNews,"November 24, 2021"
United Nations Calls for Global Action on Plastic Pollution,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",techNews,"July 20, 2021"
2023 Marks Record High for Space Exploration Achievements,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",healthNews,"July 11, 2021"
Breakthrough in Renewable Energy Achieved in 2023,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,scienceNews,"August 09, 2022"
Historic Peace Agreement Reached in Middle East Conflict,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",techNews,"May 23, 2023"
World Health Organization Declares End of COVID-19 Pandemic,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",techNews,"July 24, 2023"
Global Climate Summit 2023 Concludes with Historic Agreements,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",techNews,"January 13, 2020"
International Efforts to Combat Cybercrime Intensify in 2023,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",worldNews,"August 17, 2020"
NASA Successfully Launches Artemis II Mission to Moon,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",techNews,"April 28, 2022"
Global Climate Summit 2023 Concludes with Historic Agreements,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",techNews,"July 20, 2021"
United Nations Calls for Global Action on Plastic Pollution,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",healthNews,"January 03, 2021"
International Efforts to Combat Cybercrime Intensify in 2023,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,worldNews,"September 24, 2022"
World Health Organization Declares End of COVID-19 Pandemic,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",techNews,"January 03, 2022"
AI Regulation Bill Passed in European Parliament,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",healthNews,"May 13, 2021"
NASA Successfully Launches Artemis II Mission to Moon,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",worldNews,"May 10, 2021"
Global Inflation Rates Show Signs of Slowing in 2023,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",worldNews,"January 14, 2022"
World Health Organization Declares End of COVID-19 Pandemic,"International coalitions have intensified their efforts to combat rising cybercrime activities, introducing stricter regulations.",economyNews,"January 26, 2022"
Historic Peace Agreement Reached in Middle East Conflict,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",techNews,"July 08, 2022"
International Efforts to Combat Cybercrime Intensify in 2023,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",economyNews,"September 08, 2022"
Global Inflation Rates Show Signs of Slowing in 2023,"The European Parliament has passed the AI Regulation Bill, aiming to create ethical standards for AI deployment across Europe.",worldNews,"February 11, 2023"
International Efforts to Combat Cybercrime Intensify in 2023,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",scienceNews,"June 28, 2021"
Historic Peace Agreement Reached in Middle East Conflict,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,economyNews,"November 16, 2022"
Breakthrough in Renewable Energy Achieved in 2023,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,healthNews,"February 12, 2022"
Global Inflation Rates Show Signs of Slowing in 2023,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",techNews,"April 10, 2021"
Global Climate Summit 2023 Concludes with Historic Agreements,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",scienceNews,"July 20, 2022"
International Efforts to Combat Cybercrime Intensify in 2023,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",scienceNews,"March 19, 2023"
United Nations Calls for Global Action on Plastic Pollution,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",healthNews,"September 04, 2022"
Historic Peace Agreement Reached in Middle East Conflict,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",healthNews,"June 13, 2020"
Global Inflation Rates Show Signs of Slowing in 2023,"After decades of conflict, a historic peace agreement has been reached between warring nations in the Middle East.",techNews,"April 25, 2021"
Historic Peace Agreement Reached in Middle East Conflict,"Inflation rates globally are showing signs of deceleration, with economists projecting a gradual return to pre-pandemic levels by 2025.",scienceNews,"June 17, 2020"
Global Climate Summit 2023 Concludes with Historic Agreements,"NASA's Artemis II mission successfully launched, marking the first manned mission to the Moon in over 50 years.",scienceNews,"April 08, 2023"
Historic Peace Agreement Reached in Middle East Conflict,The United Nations has issued a call to action for countries to reduce plastic waste and focus on recycling efforts.,healthNews,"November 20, 2022"
United Nations Calls for Global Action on Plastic Pollution,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",techNews,"September 27, 2022"
NASA Successfully Launches Artemis II Mission to Moon,"The 2023 Global Climate Summit, held in Geneva, concluded with historic agreements on emissions reduction and green energy initiatives.",economyNews,"February 10, 2022"
AI Regulation Bill Passed in European Parliament,"Space exploration in 2023 has reached new heights, with multiple missions to the Moon, Mars, and beyond.",techNews,"December 19, 2022"
AI Regulation Bill Passed in European Parliament,"Scientists have announced a breakthrough in renewable energy, making solar power more efficient and affordable than ever.",scienceNews,"April 24, 2021"
2023 Marks Record High for Space Exploration Achievements,"The WHO has officially declared the COVID-19 pandemic over, citing low infection rates and widespread vaccination coverage.",scienceNews,"March 24, 2020"
